number,available_bikes,available_bike_stands,last_update,status
1,29,2,"2025-02-16 14:04:35",OPEN
1,4,25,"2025-02-18 09:19:58",OPEN
1,12,19,"2025-04-06 12:22:55",OPEN
1,11,20,"2025-04-06 12:35:37",OPEN
1,10,20,"2025-04-06 12:40:04",OPEN
1,12,19,"2025-04-06 12:43:37",OPEN
1,12,19,"2025-04-06 12:53:39",OPEN
1,12,19,"2025-04-06 13:01:48",OPEN
1,12,19,"2025-04-06 13:11:53",OPEN
1,13,18,"2025-04-06 13:14:58",OPEN
1,13,18,"2025-04-06 13:21:58",OPEN
1,14,17,"2025-04-06 13:32:03",OPEN
1,14,17,"2025-04-06 13:42:08",OPEN
1,14,17,"2025-04-06 13:52:13",OPEN
1,15,16,"2025-04-06 13:57:37",OPEN
1,16,15,"2025-04-06 14:02:19",OPEN
1,17,14,"2025-04-06 14:04:06",OPEN
1,16,15,"2025-04-06 14:12:26",OPEN
1,17,14,"2025-04-06 14:14:52",OPEN
1,17,14,"2025-04-06 14:22:31",OPEN
1,18,13,"2025-04-06 14:32:37",OPEN
1,18,13,"2025-04-06 14:42:42",OPEN
1,19,12,"2025-04-06 14:47:26",OPEN
1,17,14,"2025-04-06 14:52:53",OPEN
1,18,13,"2025-04-06 14:54:08",OPEN
1,17,14,"2025-04-06 15:03:14",OPEN
1,16,15,"2025-04-06 15:07:58",OPEN
1,16,15,"2025-04-06 15:13:06",OPEN
1,15,16,"2025-04-06 15:23:13",OPEN
1,15,16,"2025-04-06 15:24:39",OPEN
1,15,16,"2025-04-06 15:33:19",OPEN
1,15,16,"2025-04-06 15:43:25",OPEN
1,15,16,"2025-04-06 15:53:29",OPEN
1,16,15,"2025-04-06 15:56:37",OPEN
1,16,15,"2025-04-06 16:03:36",OPEN
1,15,16,"2025-04-06 16:13:42",OPEN
1,15,16,"2025-04-06 16:22:38",OPEN
1,15,16,"2025-04-06 16:23:48",OPEN
1,16,15,"2025-04-06 16:38:17",OPEN
1,17,14,"2025-04-06 16:46:09",OPEN
1,15,16,"2025-04-06 16:50:44",OPEN
1,15,16,"2025-04-06 16:54:06",OPEN
1,14,17,"2025-04-06 16:59:28",OPEN
1,12,19,"2025-04-06 17:07:16",OPEN
1,12,19,"2025-04-06 17:14:21",OPEN
1,11,20,"2025-04-06 17:21:34",OPEN
1,11,20,"2025-04-06 17:27:04",OPEN
1,10,21,"2025-04-06 17:30:08",OPEN
1,9,22,"2025-04-06 17:37:31",OPEN
1,10,21,"2025-04-06 17:39:18",OPEN
1,10,21,"2025-04-06 17:44:43",OPEN
1,12,19,"2025-04-06 17:53:27",OPEN
1,12,19,"2025-04-06 17:54:49",OPEN
1,13,18,"2025-04-06 17:59:46",OPEN
1,12,19,"2025-04-06 18:05:50",OPEN
1,13,18,"2025-04-06 18:10:06",OPEN
1,13,18,"2025-04-06 18:15:01",OPEN
1,14,17,"2025-04-06 18:21:41",OPEN
1,16,15,"2025-04-06 18:25:37",OPEN
1,15,16,"2025-04-06 18:35:14",OPEN
1,17,14,"2025-04-06 18:47:38",OPEN
1,17,14,"2025-04-06 18:52:41",OPEN
1,15,16,"2025-04-06 18:55:25",OPEN
1,15,16,"2025-04-06 19:05:31",OPEN
1,14,17,"2025-04-06 19:09:52",OPEN
1,14,17,"2025-04-06 19:15:39",OPEN
1,14,17,"2025-04-06 19:25:44",OPEN
1,14,17,"2025-04-06 19:35:49",OPEN
1,14,17,"2025-04-06 19:46:05",OPEN
1,14,17,"2025-04-06 19:55:59",OPEN
1,13,18,"2025-04-06 20:07:16",OPEN
1,12,19,"2025-04-06 20:10:12",OPEN
1,12,19,"2025-04-06 20:16:12",OPEN
1,12,19,"2025-04-06 20:26:17",OPEN
1,12,19,"2025-04-06 20:36:22",OPEN
1,12,19,"2025-04-06 20:46:27",OPEN
1,13,18,"2025-04-06 20:57:26",OPEN
1,13,18,"2025-04-06 21:06:38",OPEN
1,13,18,"2025-04-06 21:16:43",OPEN
1,12,19,"2025-04-06 21:21:27",OPEN
1,12,19,"2025-04-06 21:26:50",OPEN
1,12,19,"2025-04-06 21:36:55",OPEN
1,13,18,"2025-04-06 21:41:34",OPEN
1,13,18,"2025-04-06 21:47:01",OPEN
1,13,18,"2025-04-06 21:57:06",OPEN
1,12,19,"2025-04-06 22:02:20",OPEN
1,10,21,"2025-04-06 22:07:16",OPEN
1,10,21,"2025-04-06 22:17:21",OPEN
1,8,23,"2025-04-06 22:28:30",OPEN
1,8,23,"2025-04-06 22:37:35",OPEN
1,8,23,"2025-04-06 22:47:40",OPEN
1,8,23,"2025-04-06 22:57:45",OPEN
1,8,23,"2025-04-06 23:07:50",OPEN
1,8,23,"2025-04-06 23:17:55",OPEN
1,8,23,"2025-04-06 23:28:00",OPEN
1,8,23,"2025-04-06 23:30:12",OPEN
1,8,23,"2025-04-06 23:38:08",OPEN
1,8,23,"2025-04-06 23:48:12",OPEN
1,8,23,"2025-04-06 23:58:17",OPEN
1,8,23,"2025-04-07 00:03:32",OPEN
1,8,23,"2025-04-07 00:08:23",OPEN
1,8,23,"2025-04-07 00:18:29",OPEN
1,8,23,"2025-04-07 00:28:34",OPEN
1,8,23,"2025-04-07 00:38:39",OPEN
1,8,23,"2025-04-07 00:48:44",OPEN
1,8,23,"2025-04-07 00:58:49",OPEN
1,8,23,"2025-04-07 01:08:54",OPEN
1,8,23,"2025-04-07 01:19:00",OPEN
1,8,23,"2025-04-07 01:29:06",OPEN
1,8,23,"2025-04-07 01:39:11",OPEN
1,8,23,"2025-04-07 01:49:17",OPEN
1,8,23,"2025-04-07 01:52:58",OPEN
1,8,23,"2025-04-07 01:59:22",OPEN
1,8,23,"2025-04-07 02:09:28",OPEN
1,8,23,"2025-04-07 02:16:58",OPEN
1,8,23,"2025-04-07 02:26:30",OPEN
1,8,23,"2025-04-07 02:36:34",OPEN
1,8,23,"2025-04-07 02:46:39",OPEN
1,8,23,"2025-04-07 02:56:43",OPEN
1,8,23,"2025-04-07 03:06:48",OPEN
1,8,23,"2025-04-07 03:16:52",OPEN
1,8,23,"2025-04-07 03:26:56",OPEN
1,8,23,"2025-04-07 03:37:00",OPEN
1,8,23,"2025-04-07 03:47:05",OPEN
1,8,23,"2025-04-07 04:00:00",OPEN
1,8,23,"2025-04-07 04:07:15",OPEN
1,8,23,"2025-04-07 04:17:19",OPEN
1,9,22,"2025-04-07 04:29:07",OPEN
1,10,21,"2025-04-07 04:32:11",OPEN
1,10,21,"2025-04-07 04:40:11",OPEN
1,10,21,"2025-04-07 04:47:32",OPEN
1,10,21,"2025-04-07 04:57:36",OPEN
1,10,21,"2025-04-07 05:07:41",OPEN
1,10,21,"2025-04-07 05:17:45",OPEN
1,11,20,"2025-04-07 05:27:49",OPEN
1,11,20,"2025-04-07 05:39:56",OPEN
1,12,19,"2025-04-07 05:45:22",OPEN
1,14,17,"2025-04-07 05:49:53",OPEN
1,15,16,"2025-04-07 05:59:47",OPEN
1,16,15,"2025-04-07 06:02:17",OPEN
1,16,15,"2025-04-07 06:08:08",OPEN
1,16,15,"2025-04-07 06:18:12",OPEN
1,16,15,"2025-04-07 06:28:17",OPEN
1,16,15,"2025-04-07 06:38:22",OPEN
1,16,15,"2025-04-07 06:48:26",OPEN
1,17,14,"2025-04-07 06:55:34",OPEN
1,17,14,"2025-04-07 07:00:35",OPEN
1,18,13,"2025-04-07 07:00:45",OPEN
1,17,14,"2025-04-07 07:08:37",OPEN
1,19,12,"2025-04-07 07:18:46",OPEN
1,20,11,"2025-04-07 07:28:52",OPEN
1,20,11,"2025-04-07 07:38:58",OPEN
1,19,12,"2025-04-07 07:40:44",OPEN
1,21,10,"2025-04-07 07:49:04",OPEN
1,19,12,"2025-04-07 07:55:34",OPEN
1,19,12,"2025-04-07 07:59:13",OPEN
1,22,9,"2025-04-07 08:04:47",OPEN
1,22,9,"2025-04-07 08:09:18",OPEN
1,22,9,"2025-04-07 08:19:22",OPEN
1,22,9,"2025-04-07 08:29:27",OPEN
1,24,7,"2025-04-07 08:34:41",OPEN
1,24,7,"2025-04-07 08:39:31",OPEN
1,25,6,"2025-04-07 08:42:39",OPEN
1,25,6,"2025-04-07 08:49:38",OPEN
1,26,5,"2025-04-07 08:54:28",OPEN
1,25,6,"2025-04-07 08:59:44",OPEN
1,26,5,"2025-04-07 09:09:50",OPEN
1,27,4,"2025-04-07 09:15:30",OPEN
1,28,3,"2025-04-07 09:19:56",OPEN
1,28,3,"2025-04-07 09:30:01",OPEN
1,29,2,"2025-04-07 09:32:32",OPEN
1,29,2,"2025-04-07 09:40:05",OPEN
1,29,2,"2025-04-07 09:50:13",OPEN
1,29,2,"2025-04-07 10:00:18",OPEN
1,30,1,"2025-04-07 10:05:05",OPEN
1,29,2,"2025-04-07 10:10:24",OPEN
1,30,1,"2025-04-07 10:20:30",OPEN
1,29,2,"2025-04-07 10:22:02",OPEN
1,29,2,"2025-04-07 10:30:36",OPEN
1,29,2,"2025-04-07 10:40:40",OPEN
1,29,2,"2025-04-07 10:50:44",OPEN
1,28,3,"2025-04-07 11:02:33",OPEN
1,28,3,"2025-04-07 11:10:11",OPEN
1,28,3,"2025-04-07 11:10:56",OPEN
1,27,4,"2025-04-07 11:16:26",OPEN
1,28,3,"2025-04-07 11:24:08",OPEN
1,27,4,"2025-04-07 11:28:33",OPEN
1,27,4,"2025-04-07 11:31:08",OPEN
1,28,3,"2025-04-07 11:41:13",OPEN
1,29,2,"2025-04-07 11:42:27",OPEN
1,30,1,"2025-04-07 11:51:18",OPEN
1,30,1,"2025-04-07 11:52:08",OPEN
1,31,0,"2025-04-07 12:01:24",OPEN
1,31,0,"2025-04-07 12:02:19",OPEN
1,31,0,"2025-04-07 12:11:31",OPEN
1,31,0,"2025-04-07 12:12:02",OPEN
1,31,0,"2025-04-07 12:21:38",OPEN
1,29,2,"2025-04-07 12:25:37",OPEN
1,29,2,"2025-04-07 12:27:40",OPEN
1,29,2,"2025-04-07 12:36:34",OPEN
1,29,2,"2025-04-07 12:39:12",OPEN
1,30,1,"2025-04-07 12:42:32",OPEN
2,0,20,"2025-02-16 14:01:02",OPEN
2,3,17,"2025-02-18 09:23:52",OPEN
2,0,20,"2025-04-06 12:21:14",OPEN
2,0,20,"2025-04-06 12:31:18",OPEN
2,0,20,"2025-04-06 12:41:22",OPEN
2,0,20,"2025-04-06 12:51:26",OPEN
2,0,20,"2025-04-06 13:01:30",OPEN
2,0,20,"2025-04-06 13:11:35",OPEN
2,0,20,"2025-04-06 13:21:39",OPEN
2,0,20,"2025-04-06 13:31:44",OPEN
2,0,20,"2025-04-06 13:41:48",OPEN
2,0,20,"2025-04-06 13:51:52",OPEN
2,0,20,"2025-04-06 14:01:56",OPEN
2,0,20,"2025-04-06 14:12:00",OPEN
2,0,20,"2025-04-06 14:22:04",OPEN
2,1,19,"2025-04-06 14:32:07",OPEN
2,3,17,"2025-04-06 14:42:16",OPEN
2,3,17,"2025-04-06 14:52:21",OPEN
2,3,17,"2025-04-06 15:02:25",OPEN
2,3,17,"2025-04-06 15:12:29",OPEN
2,2,18,"2025-04-06 15:17:48",OPEN
2,2,18,"2025-04-06 15:22:36",OPEN
2,2,18,"2025-04-06 15:33:13",OPEN
2,3,17,"2025-04-06 15:42:45",OPEN
2,12,8,"2025-04-06 15:47:05",OPEN
2,12,8,"2025-04-06 15:52:52",OPEN
2,13,7,"2025-04-06 15:58:35",OPEN
2,13,7,"2025-04-06 16:02:56",OPEN
2,13,7,"2025-04-06 16:13:00",OPEN
2,13,7,"2025-04-06 16:23:04",OPEN
2,13,7,"2025-04-06 16:33:09",OPEN
2,13,7,"2025-04-06 16:43:12",OPEN
2,13,7,"2025-04-06 16:53:16",OPEN
2,13,7,"2025-04-06 17:03:20",OPEN
2,13,7,"2025-04-06 17:13:25",OPEN
2,13,7,"2025-04-06 17:23:29",OPEN
2,13,7,"2025-04-06 17:33:33",OPEN
2,12,8,"2025-04-06 17:43:38",OPEN
2,12,8,"2025-04-06 17:53:41",OPEN
2,12,8,"2025-04-06 18:03:46",OPEN
2,13,7,"2025-04-06 18:16:00",OPEN
2,13,7,"2025-04-06 18:25:57",OPEN
2,13,7,"2025-04-06 18:34:00",OPEN
2,13,7,"2025-04-06 18:44:04",OPEN
2,13,7,"2025-04-06 18:54:08",OPEN
2,13,7,"2025-04-06 19:04:12",OPEN
2,12,8,"2025-04-06 19:11:37",OPEN
2,12,8,"2025-04-06 19:14:17",OPEN
2,12,8,"2025-04-06 19:24:22",OPEN
2,12,8,"2025-04-06 19:34:26",OPEN
2,11,9,"2025-04-06 19:43:41",OPEN
2,11,9,"2025-04-06 19:44:31",OPEN
2,11,9,"2025-04-06 19:54:35",OPEN
2,12,8,"2025-04-06 20:03:08",OPEN
2,12,8,"2025-04-06 20:04:41",OPEN
2,12,8,"2025-04-06 20:14:45",OPEN
2,12,8,"2025-04-06 20:24:50",OPEN
2,12,8,"2025-04-06 20:34:54",OPEN
2,12,8,"2025-04-06 20:44:59",OPEN
2,12,8,"2025-04-06 20:55:02",OPEN
2,13,7,"2025-04-06 21:01:57",OPEN
2,13,7,"2025-04-06 21:05:07",OPEN
2,14,6,"2025-04-06 21:18:08",OPEN
2,14,6,"2025-04-06 21:25:17",OPEN
2,14,6,"2025-04-06 21:35:21",OPEN
2,14,6,"2025-04-06 21:45:25",OPEN
2,14,6,"2025-04-06 21:57:48",OPEN
2,14,6,"2025-04-06 22:05:34",OPEN
2,15,5,"2025-04-06 22:10:25",OPEN
2,15,5,"2025-04-06 22:15:40",OPEN
2,15,5,"2025-04-06 22:25:44",OPEN
2,15,5,"2025-04-06 22:35:48",OPEN
2,15,5,"2025-04-06 22:45:52",OPEN
2,15,5,"2025-04-06 22:55:56",OPEN
2,15,5,"2025-04-06 23:06:00",OPEN
2,15,5,"2025-04-06 23:16:04",OPEN
2,15,5,"2025-04-06 23:26:08",OPEN
2,15,5,"2025-04-06 23:30:11",OPEN
2,15,5,"2025-04-06 23:36:14",OPEN
2,15,5,"2025-04-06 23:46:18",OPEN
2,15,5,"2025-04-06 23:56:22",OPEN
2,15,5,"2025-04-07 00:06:26",OPEN
2,15,5,"2025-04-07 00:16:30",OPEN
2,15,5,"2025-04-07 00:26:34",OPEN
2,15,5,"2025-04-07 00:36:39",OPEN
2,15,5,"2025-04-07 00:46:43",OPEN
2,15,5,"2025-04-07 00:56:47",OPEN
2,15,5,"2025-04-07 01:06:51",OPEN
2,15,5,"2025-04-07 01:12:43",OPEN
2,15,5,"2025-04-07 01:16:56",OPEN
2,15,5,"2025-04-07 01:27:00",OPEN
2,15,5,"2025-04-07 01:37:06",OPEN
2,15,5,"2025-04-07 01:47:10",OPEN
2,15,5,"2025-04-07 01:57:14",OPEN
2,15,5,"2025-04-07 02:07:18",OPEN
2,15,5,"2025-04-07 02:18:57",OPEN
2,15,5,"2025-04-07 02:27:59",OPEN
2,15,5,"2025-04-07 02:38:03",OPEN
2,15,5,"2025-04-07 02:48:07",OPEN
2,15,5,"2025-04-07 02:58:12",OPEN
2,15,5,"2025-04-07 03:08:16",OPEN
2,15,5,"2025-04-07 03:18:34",OPEN
2,15,5,"2025-04-07 03:28:25",OPEN
2,15,5,"2025-04-07 03:38:29",OPEN
2,15,5,"2025-04-07 03:43:10",OPEN
2,15,5,"2025-04-07 03:48:34",OPEN
2,15,5,"2025-04-07 04:00:01",OPEN
2,15,5,"2025-04-07 04:08:44",OPEN
2,15,5,"2025-04-07 04:18:48",OPEN
2,13,7,"2025-04-07 04:21:01",OPEN
2,13,7,"2025-04-07 04:28:54",OPEN
2,13,7,"2025-04-07 04:38:59",OPEN
2,12,8,"2025-04-07 04:42:49",OPEN
2,12,8,"2025-04-07 04:49:05",OPEN
2,12,8,"2025-04-07 04:59:09",OPEN
2,12,8,"2025-04-07 05:09:13",OPEN
2,11,9,"2025-04-07 05:19:19",OPEN
2,11,9,"2025-04-07 05:29:23",OPEN
2,11,9,"2025-04-07 05:39:28",OPEN
2,11,9,"2025-04-07 05:49:32",OPEN
2,10,10,"2025-04-07 05:59:37",OPEN
2,9,11,"2025-04-07 06:09:44",OPEN
2,8,12,"2025-04-07 06:13:59",OPEN
2,8,12,"2025-04-07 06:19:49",OPEN
2,8,12,"2025-04-07 06:23:04",OPEN
2,7,13,"2025-04-07 06:30:38",OPEN
2,6,14,"2025-04-07 06:33:33",OPEN
2,6,14,"2025-04-07 06:40:02",OPEN
2,7,13,"2025-04-07 06:50:07",OPEN
2,6,14,"2025-04-07 07:00:15",OPEN
2,5,15,"2025-04-07 07:10:20",OPEN
2,4,16,"2025-04-07 07:13:21",OPEN
2,4,16,"2025-04-07 07:20:26",OPEN
2,3,17,"2025-04-07 07:22:42",OPEN
2,3,17,"2025-04-07 07:30:33",OPEN
2,2,18,"2025-04-07 07:32:52",OPEN
2,0,20,"2025-04-07 07:40:42",OPEN
2,0,20,"2025-04-07 07:50:46",OPEN
2,1,19,"2025-04-07 08:05:09",OPEN
2,0,20,"2025-04-07 08:11:58",OPEN
2,0,20,"2025-04-07 08:21:03",OPEN
2,0,20,"2025-04-07 08:31:07",OPEN
2,0,20,"2025-04-07 08:41:12",OPEN
2,0,20,"2025-04-07 08:51:16",OPEN
2,0,20,"2025-04-07 09:01:21",OPEN
2,0,20,"2025-04-07 09:11:26",OPEN
2,0,20,"2025-04-07 09:21:31",OPEN
2,0,20,"2025-04-07 09:31:35",OPEN
2,0,20,"2025-04-07 09:41:40",OPEN
2,0,20,"2025-04-07 09:51:45",OPEN
2,0,20,"2025-04-07 10:01:49",OPEN
2,8,12,"2025-04-07 10:14:25",OPEN
2,7,13,"2025-04-07 10:17:20",OPEN
2,7,13,"2025-04-07 10:22:02",OPEN
2,7,13,"2025-04-07 10:32:07",OPEN
2,7,13,"2025-04-07 10:42:12",OPEN
2,7,13,"2025-04-07 10:52:16",OPEN
2,7,13,"2025-04-07 11:02:20",OPEN
2,7,13,"2025-04-07 11:12:25",OPEN
2,6,14,"2025-04-07 11:20:16",OPEN
2,6,14,"2025-04-07 11:22:31",OPEN
2,6,14,"2025-04-07 11:35:09",OPEN
2,5,15,"2025-04-07 11:42:46",OPEN
2,6,14,"2025-04-07 11:47:29",OPEN
2,6,14,"2025-04-07 11:52:47",OPEN
2,6,14,"2025-04-07 12:02:51",OPEN
2,6,14,"2025-04-07 12:12:55",OPEN
2,5,15,"2025-04-07 12:21:31",OPEN
2,4,16,"2025-04-07 12:26:28",OPEN
2,4,16,"2025-04-07 12:33:07",OPEN
2,4,16,"2025-04-07 12:43:11",OPEN
3,10,10,"2025-02-16 14:03:45",OPEN
3,4,16,"2025-02-18 09:22:34",OPEN
3,17,3,"2025-04-06 12:27:52",OPEN
3,17,3,"2025-04-06 12:32:53",OPEN
3,17,3,"2025-04-06 12:38:13",OPEN
3,17,3,"2025-04-06 12:42:59",OPEN
3,17,3,"2025-04-06 12:53:04",OPEN
3,17,3,"2025-04-06 13:03:09",OPEN
3,18,2,"2025-04-06 13:05:41",OPEN
3,14,6,"2025-04-06 13:13:20",OPEN
3,14,6,"2025-04-06 13:23:25",OPEN
3,14,6,"2025-04-06 13:33:30",OPEN
3,13,7,"2025-04-06 13:38:17",OPEN
3,13,7,"2025-04-06 13:43:36",OPEN
3,13,7,"2025-04-06 13:47:17",OPEN
3,13,7,"2025-04-06 13:53:44",OPEN
3,13,7,"2025-04-06 14:03:49",OPEN
3,12,8,"2025-04-06 14:14:28",OPEN
3,12,8,"2025-04-06 14:24:00",OPEN
3,11,9,"2025-04-06 14:30:44",OPEN
3,11,9,"2025-04-06 14:34:06",OPEN
3,11,9,"2025-04-06 14:44:11",OPEN
3,10,10,"2025-04-06 14:58:19",OPEN
3,10,10,"2025-04-06 15:04:24",OPEN
3,9,11,"2025-04-06 15:17:57",OPEN
3,10,10,"2025-04-06 15:19:49",OPEN
3,10,10,"2025-04-06 15:24:35",OPEN
3,9,11,"2025-04-06 15:29:01",OPEN
3,9,11,"2025-04-06 15:34:41",OPEN
3,10,10,"2025-04-06 15:42:47",OPEN
3,9,11,"2025-04-06 15:47:15",OPEN
3,8,12,"2025-04-06 15:49:07",OPEN
3,6,14,"2025-04-06 15:56:56",OPEN
3,7,13,"2025-04-06 16:05:06",OPEN
3,7,13,"2025-04-06 16:15:11",OPEN
3,6,14,"2025-04-06 16:25:17",OPEN
3,6,14,"2025-04-06 16:35:22",OPEN
3,6,14,"2025-04-06 16:45:27",OPEN
3,7,13,"2025-04-06 16:49:10",OPEN
3,7,13,"2025-04-06 16:55:33",OPEN
3,7,13,"2025-04-06 17:05:38",OPEN
3,6,14,"2025-04-06 17:15:44",OPEN
3,7,13,"2025-04-06 17:27:49",OPEN
3,6,14,"2025-04-06 17:35:56",OPEN
3,6,14,"2025-04-06 17:46:01",OPEN
3,5,15,"2025-04-06 17:51:50",OPEN
3,5,15,"2025-04-06 17:56:08",OPEN
3,7,13,"2025-04-06 17:59:31",OPEN
3,7,13,"2025-04-06 18:06:14",OPEN
3,7,13,"2025-04-06 18:16:19",OPEN
3,7,13,"2025-04-06 18:26:24",OPEN
3,7,13,"2025-04-06 18:36:29",OPEN
3,9,11,"2025-04-06 18:48:16",OPEN
3,11,9,"2025-04-06 18:58:16",OPEN
3,10,10,"2025-04-06 19:00:15",OPEN
3,10,10,"2025-04-06 19:06:48",OPEN
3,10,10,"2025-04-06 19:16:54",OPEN
3,11,9,"2025-04-06 19:28:12",OPEN
3,8,12,"2025-04-06 19:38:03",OPEN
3,8,12,"2025-04-06 19:47:13",OPEN
3,7,13,"2025-04-06 19:58:25",OPEN
3,7,13,"2025-04-06 20:07:25",OPEN
3,6,14,"2025-04-06 20:17:52",OPEN
3,6,14,"2025-04-06 20:27:38",OPEN
3,6,14,"2025-04-06 20:37:43",OPEN
3,6,14,"2025-04-06 20:47:47",OPEN
3,6,14,"2025-04-06 20:58:40",OPEN
3,5,15,"2025-04-06 21:07:59",OPEN
3,7,13,"2025-04-06 21:12:37",OPEN
3,7,13,"2025-04-06 21:18:05",OPEN
3,7,13,"2025-04-06 21:28:10",OPEN
3,7,13,"2025-04-06 21:38:15",OPEN
3,7,13,"2025-04-06 21:48:40",OPEN
3,7,13,"2025-04-06 21:58:25",OPEN
3,6,14,"2025-04-06 22:08:32",OPEN
3,6,14,"2025-04-06 22:18:37",OPEN
3,6,14,"2025-04-06 22:28:42",OPEN
3,6,14,"2025-04-06 22:38:47",OPEN
3,6,14,"2025-04-06 22:48:52",OPEN
3,6,14,"2025-04-06 22:58:58",OPEN
3,6,14,"2025-04-06 23:09:03",OPEN
3,6,14,"2025-04-06 23:19:08",OPEN
3,6,14,"2025-04-06 23:24:25",OPEN
3,5,15,"2025-04-06 23:29:15",OPEN
3,5,15,"2025-04-06 23:30:12",OPEN
3,5,15,"2025-04-06 23:39:22",OPEN
3,5,15,"2025-04-06 23:49:27",OPEN
3,5,15,"2025-04-06 23:59:32",OPEN
3,5,15,"2025-04-07 00:09:37",OPEN
3,5,15,"2025-04-07 00:19:42",OPEN
3,5,15,"2025-04-07 00:29:47",OPEN
3,5,15,"2025-04-07 00:39:52",OPEN
3,5,15,"2025-04-07 00:49:57",OPEN
3,5,15,"2025-04-07 01:00:02",OPEN
3,5,15,"2025-04-07 01:10:07",OPEN
3,5,15,"2025-04-07 01:20:12",OPEN
3,5,15,"2025-04-07 01:30:17",OPEN
3,5,15,"2025-04-07 01:40:22",OPEN
3,5,15,"2025-04-07 01:50:27",OPEN
3,5,15,"2025-04-07 02:00:32",OPEN
3,5,15,"2025-04-07 02:10:37",OPEN
3,5,15,"2025-04-07 02:18:57",OPEN
3,5,15,"2025-04-07 02:28:31",OPEN
3,5,15,"2025-04-07 02:38:35",OPEN
3,5,15,"2025-04-07 02:48:39",OPEN
3,5,15,"2025-04-07 02:58:43",OPEN
3,5,15,"2025-04-07 03:08:48",OPEN
3,5,15,"2025-04-07 03:18:52",OPEN
3,5,15,"2025-04-07 03:28:56",OPEN
3,5,15,"2025-04-07 03:39:00",OPEN
3,5,15,"2025-04-07 03:49:04",OPEN
3,5,15,"2025-04-07 04:00:00",OPEN
3,5,15,"2025-04-07 04:09:15",OPEN
3,5,15,"2025-04-07 04:19:19",OPEN
3,5,15,"2025-04-07 04:29:23",OPEN
3,5,15,"2025-04-07 04:39:27",OPEN
3,5,15,"2025-04-07 04:49:31",OPEN
3,5,15,"2025-04-07 04:59:36",OPEN
3,4,16,"2025-04-07 05:02:19",OPEN
3,2,18,"2025-04-07 05:10:19",OPEN
3,2,18,"2025-04-07 05:19:50",OPEN
3,2,18,"2025-04-07 05:29:55",OPEN
3,2,18,"2025-04-07 05:35:29",OPEN
3,3,17,"2025-04-07 05:40:02",OPEN
3,2,18,"2025-04-07 05:43:26",OPEN
3,2,18,"2025-04-07 05:50:08",OPEN
3,2,18,"2025-04-07 06:00:12",OPEN
